OBJECTID,ID,CODIGO_DANE,NOMBRE,ULTIMO_TIPO_ACTO_ADMIN,ULTIMO_NUMERO_ACTO_ADMIN,ULTIMA_FECHA_ACTO_ADMIN,AREA_TOTAL_ACTOS_ADMIN,ULTIMO_NUMERO_PLANO,PUEBLO,DEPARTAMENTO,MUNICIPIO,GlobalID
121,10353,1233,Resguardo Indígena Waunana - Paraje de San Antonio de Togorama,RESOLUCION,0107,1981/12/15 00:00:00+00,8640,262714,WAUNANA,27,27361,{0EAC2AEB-FA55-42C3-BED7-24D80CE1950A}
122,10337,1197,Resguardo Indígena Embera de los Rios Valle y Boroboro,RESOLUCION,0030,1984/05/08 00:00:00+00,16700,263945,EMBERA,27,27075,{065F793B-43AF-4C9A-8E40-56A9C0F1245E}
123,10205,1666,Resguardo Indígena Páez de Toez,ACUERDO,491,2025/07/10 00:00:00+00,724.6888,ACCTI024761132982,PÁEZ,76,76113,{22FF8B81-AB79-4FCE-AA31-E75EC80866FD}
124,10640,1413,Resguardo Indígena Pijao de Chenche Socorro Los Guayabos,RESOLUCION,0005,1996/05/24 00:00:00+00,349.3785,I-551_497 de Marzo de 1996,PIJAO,73,73217,{92BA2ECE-D2B8-4B21-9511-911E48C10867}
125,10003,1002,Resguardo Indígena de Comeyafu,RESOLUCION,76,2018/10/25 00:00:00+00,32028.4246,ACCTI 91407133,YUCUNA Y OTROS,91,91001,{9A3C48F0-68BE-47C8-BA1F-F50DB3EB7A96}
126,10265,1791,Resguardo Indígena Embera Dobida Dogibi,ACUERDO,0303,2013/04/17 00:00:00+00,3157.5692,10-0-01104A,EMBERA DOBIDA,27,27800,{12BAE300-95DA-499A-BAFA-1D450371189B}
127,10225,1833,Resguardo Indígena Nasa de Cerro Tijeras,RESOLUCION,40,2017/12/11 00:00:00+00,362.3439,ACCTI 1978023,NASA,19,19780,{CAFA3B18-22F5-481D-BE3F-261B39696F27}
128,10722,1568,Resguardo Indígena Embera-Chami Drua Do,RESOLUCION,42,1999/05/31 00:00:00+00,80.3661,G-601.560 y G-601.563,EMBERA CHAMI,76,76828,{A4A6625A-584F-4C58-83AD-E217EE664EFB}
129,11105,1889,Resguardo Indígena Daidrua,ACUERDO,191,2021/11/11 00:00:00+00,13.3096,SIN INFORMACION,EMBERA CHAMI,63,63130,{C415CC42-DDCB-4C46-B1B0-88F9A1E937AC}
130,10663,1637,Resguardo Indígena Pijao Mercadillo,RESOLUCION,0034,2001/09/24 00:00:00+00,71.6144,I-606.497/I-606.496,PIJAO,73,73483,{57709A66-BD2E-4B89-ADA3-587E3A7D32DB}
131,10281,1254,Resguardo Indígena Embera de Jagual Rio Chintado,RESOLUCION,41,1992/08/03 00:00:00+00,40835,B466170,EMBERA,27,27615,{387B2B4E-1524-4528-A8E3-B55BCE48B824}
132,10376,1287,Resguardo Indígena Piapoco / Sikuani-Guahibo de Chigüiro,RESOLUCION,0074,1993/04/14 00:00:00+00,18230,P466.258 de mayo de 1992,PIAPOCO SIKUANI GUAHIBO,94,94001,{95C4F056-707D-46EF-9BAA-B4239F2B27EB}
133,10427,1720,Resguardo Indígena Nasa Paez de Llano Buco - Bukj Ukue,RESOLUCION,200,2021/11/30 00:00:00+00,464.7518,ACCTI 414831248,NASA PAEZ,41,41483,{D413DEF0-A509-4B1A-93B6-204B73320CB9}
134,10112,1794,Resguardo Indígena Nasa Banderas del Recaibo,RESOLUCION,0321,2013/12/03 00:00:00+00,520.3179,10-0-01252 de octubre de 2012,NASA,18,18753,{E19AA7F9-A841-44BD-8016-D24F3236587C}
135,10494,1365,Resguardo Indígena Awa Kwaiker de Cuasbi - La Faldada,RESOLUCION,0049,1994/11/29 00:00:00+00,1825,P-466.394,AWA,52,52612,{F7BB3AC5-DC02-4F4A-8802-C80CA32D8F90}
136,10300,1536,Resguardo Indígena Embera de Paina,RESOLUCION,0054,1998/12/23 00:00:00+00,2834,P-466.685,EMBERA,27,27001,{40003AF6-431C-40AC-9AE8-3A478080AD69}
137,10787,1872,Resguardo Indígena Zince La 18,ACUERDO,134,2020/10/26 00:00:00+00,14.5434,ACCTI 05895421,ZENÚ,05,05895,{D7321CAA-A270-4CC2-B49E-384CCBBF164E}
138,10232,1188,Resguardo Indígena Arhuaca de Businchama,RESOLUCION,0032,1996/08/14 00:00:00+00,128.197,A-561-250 en mayo de 1995,ARHUACO,20,20001,{79CF40B5-D09C-4111-B7E2-581C2F2DEB3E}
139,10144,1573,Resguardo Indígena Embera Katio de San Pablo El Para,RESOLUCION,0077,1999/12/09 00:00:00+00,607.79,"577,839",EMBERA KATIO,18,18001,{357D3F65-D317-40A3-96D4-B9C66AA6353C}
140,11101,SIN INFORMACION,Resguardo Indígena Chicala Pijao,ACUERDO,433,2024/12/10 00:00:00+00,20.5503,ACCTI02386320905,PIJAO,86,86320,{D42FA892-BB05-45E3-B30A-0B6484B8BF0A}
141,10335,1206,Resguardo Indígena Embera del Rio Torreido,RESOLUCION,0062,1983/09/21 00:00:00+00,6140,263537,EMBERA KATIO,27,27077,{305E479B-D46A-410C-B661-53E602B6B66D}
142,10525,1380,Resguardo Indígena Awa Piedra Sellada - Quebrada Tronqueria,RESOLUCION,15,1996/05/24 00:00:00+00,2281.8,R - 538.870,AWA,52,52835,{E997DE73-B198-4443-98ED-47E691D3394A}
143,10040,1554,Resguardo Indígena Embera-Katio de Jaikerazavi,RESOLUCION,188,2009/10/21 00:00:00+00,32604.557,10-0-00142,EMBERA KATIO,05,MUTATÁ,{4C08B02A-B089-47F8-8539-E1D926330E72}
144,10244,1210,Resguardo Indígena Embera de Alto Rio Bojaya,RESOLUCION,21,2001/06/28 00:00:00+00,52361.5165,I-630.246,EMBERA,27,27099,{22CF791E-B5CC-49D6-A148-06C7C2450B48}
145,10124,1097,Resguardo Indígena Coreguaje de Jerico-Consaya,RESOLUCION,241,2022/11/16 00:00:00+00,32725.9487,"ACCTI 187561627
ACCTI 187561628",COREGUAJE,18,18756,{8AF8526C-1719-463D-8365-C5DFB37D6B5C}
146,11578,,Resguardo Indígena Nasa Yu Lucx - Hijos del Agua,ACUERDO,463,2025/03/28 00:00:00+00,2514.1898,ACCTI023195331039,NASA,19,19533,{D8C2B5C0-A683-4F2F-A3E0-93D54551F2F2}
147,10726,1604,Resgusardo Indígena Paez de La Cristalina  - Kwes Kiwe Nasa,RESOLUCION,0058,2000/12/18 00:00:00+00,36.4003,G-601.561,PAEZ,76,76364,{B8CE3EE0-49EB-4002-9A1C-284BEC99ED14}
148,10309,1220,"Resguardo Indígena Waunana de Puado, La Lerma, Matare y Terdo",RESOLUCION,0039,1986/07/03 00:00:00+00,12662,P-198.622,WAUNANA,27,27361,{C57D8CCC-F99C-42DF-9EEB-9C217AAF13C6}
149,10604,1510,Resguardo Indígena Santa Rosa Del Guamuez,RESOLUCION,0009,1998/05/13 00:00:00+00,756.55,P-466.582,KOFAN INGA,86,86568,{D40AA92B-0C82-42A6-BE6D-113D5A5436D8}
150,10206,1158,Resguardo Indígena Kokonuco y Yanacona de Paletara,RESOLUCION,5,2002/02/27 00:00:00+00,5476.4672,P -466.534,KOKONUCO  YANACONA,19,19585,{CED6A361-0A5D-4262-AAE8-4B3CD0CAD563}
151,10415,1310,Resguardo Indígena de Venezuela O Panure,RESOLUCION,81,1993/04/14 00:00:00+00,303.1693,P-466.279,GUAYABERO,95,95001,{AFDDCD37-3982-455F-A77C-6EC8DC7EC86E}
152,10072,1026,Resguardo Indígena Embera de Chimurro y Nendo,RESOLUCION,0089,1988/10/10 00:00:00+00,13185,P-198-840 Junio de 1988,EMBERA,05,05234,{E8D2FCDF-E7DB-4EE2-97FD-60A96F2C2FF6}
153,10334,1253,Resguardo Indígena Embera de los Rios Pato y Jengado,RESOLUCION,37,1998/11/30 00:00:00+00,4908.5,P466.684,EMBERA,27,27001,{8008585B-E883-4ADB-AB3E-35675669C1A6}
154,10114,1106,Resguardo Indígena de Cusumbe - Agua Blanca,RESOLUCION,0067,1988/08/16 00:00:00+00,330.182404,B-281.241,INGA,18,18860,{F0B3F0FD-0EC2-4518-8D20-FCE18A39FD8A}
155,10646,1748,Resguardo Indígena Pijao Floral Tradicional,RESOLUCION,0100,2007/02/15 00:00:00+00,111.919,I-606.576,PIJAO,73,73217,{7692FC03-31B7-4EF3-A834-BAFD8605718E}
156,11546,,Resguardo Indígena Inga Bajo Chuspizacha del pueblo Inga,ACUERDO,465,2025/03/28 00:00:00+00,2380.2445,ACCTI023195331037,INGA,19,19533,{EF83359C-7E97-43D3-A8BB-AA679A9F3A3C}
157,10521,1653,Resguardo Indígena Awa de Palmar Imbi,ACUERDO,284,2023/08/01 00:00:00+00,7879.4727,ACCTI 0242526122039,AWA,52,52612,{4779DE00-6843-4FDD-921A-24A2B04CE71B}
158,10404,1508,Resguardo Indígena Cubeo Yavilla II,RESOLUCION,0007,1998/05/11 00:00:00+00,30000,587-141,CUBEO Y OTROS,95,95200,{CFB947D3-D600-4C46-B97F-BD64B95C1DA7}
159,11201,SIN ASIGNAR,Resguardo Indígena Wasapana Dagua,RESOLUCION,286,2023/08/01 00:00:00+00,5877.4007,ACCTI 990011315,AMORUA,99,99001,{84F2F8D0-D762-4FFC-9E9B-F6B7672130DF}
160,10049,1042,Resguardo Indígena Embera-Katio de Majoré- Ambura,RESOLUCION,0014,1996/05/24 00:00:00+00,6950,I-568.385 DE DICIEMBRE DE 1995,EMBERA KATIO,05,05847,{4A750279-6C13-4BCC-9107-83EC25C1A6CC}
161,10382,1276,Resguardo Indígena Puinave Y Piapoco De Guaco Bajo - Guaco Alto,RESOLUCION,0003,1987/01/21 00:00:00+00,49660,P-198.632,Puinvae y Piapoco,94,94001,{FFC28815-3BBB-49BE-98EF-321FE80D569C}
162,10497,1367,Resguardo Indígena Awa de Cuchilla Palmar,RESOLUCION,0082,1993/04/14 00:00:00+00,2775,P-466.292 de noviembre de 1992,AWA,52,52612,{873CD948-95EA-4E03-9BBA-49B268B32B17}
163,10011,1011,Resguardo Indígena Ticuna Nazaret,ACUERDO,343,2023/12/22 00:00:00+00,19103.7861,ACCTI 0241910012275,TICUNA,91,91001,{B20154A7-88D5-4E28-892B-9CF5272336AE}
164,10129,1796,Resguardo Indígena Embera Chami La Libertad 2,RESOLUCION,0323,2013/12/03 00:00:00+00,1776.9308,10-0-01324 oct 2012,EMBERA CHAMI,18,18753,{E2FAE366-0303-48B1-9233-9F6EF4A83072}
165,10462,1189,Resguardo Indígena Arhuaca O Ijke (Arhuaco De La Sierra),RESOLUCION,302,2023/09/25 00:00:00+00,201663.9094,ACCTI 0242472002043,IJKA,20,20001,{4FCDA14D-1F1A-4CA4-9563-C8137B68A712}
166,10724,1449,Resguardo Indígena Waunana de Guayacan Santa Rosa,RESOLUCION,0054,1989/07/24 00:00:00+00,236,P-198874,WAUNANA,76,76109,{4631EC4A-3508-4E1D-B8C5-533383CAECE9}
167,11074,SIN INFORMACION,Resguardo Indígena Dos Quebradas,ACUERDO,408,2024/11/07 00:00:00+00,280.2076,ACCTI02386320754,EMBERA CHAMI,86,86320,{D9D247DD-1F65-484C-9971-22BA5F478C9A}
168,10693,1087,Resguardo Indígena Pijao San Miguel,RESOLUCION,0039,1997/12/10 00:00:00+00,415.2239,I-578.048,PIJAO,73,73483,{2DA1DFB1-D121-49F9-BBDD-40DE4437DD2A}
169,10058,1507,Resguardo Indígena Emebera-Katio de Santa Maria -  El Charcon,RESOLUCION,0033,1998/11/30 00:00:00+00,130.9291,P-466-698,EMBERA KATIO,05,URAMITA,{4D2E9817-FA78-48B5-8C28-74A0645D4AAC}
170,10151,1103,Resguardo Indígena Witoto del paraje de Puerto Zabalo y Los Monos,RESOLUCION,26,2017/07/17 00:00:00+00,624580.6246,PQSPR 187568,HUITOTO,18,18756,{8C048AA9-9EF1-40EA-9C3C-CEF1E5DFA82A}
171,11142,,Resguardo Indígena Ico Valle del Anape,RESOLUCION,512,2025/08/27 00:00:00+00,20.2409,ACCTI023730674163,PIJAO,73,73067,{7EA5DCDF-9CF0-483B-9B64-2598A529D85F}
172,10742,1458,"Resguardo Indígena Arara, Bacati, Cararu y Lagos de Jamiacuru",RESOLUCION,0080,1993/04/14 00:00:00+00,264800,P 466.283,TUCANO Y OTROS,97,97001,{4B75FF96-B35C-415F-B7BE-169A0144954B}
173,10506,1682,Resguardo Indígena Awa de Honda Rio Guiza,RESOLUCION,0026,2003/04/10 00:00:00+00,334.375,B-659-583 de octubre de 2002,AWA,52,52079,{DDB0BD40-F1B9-4F2F-B492-5102E050ED78}
174,10125,1098,Resguardo Indígena Embera-Katio La Cerinda,RESOLUCION,0045,1996/09/24 00:00:00+00,51.6,p-466.541,EMBERA KATIO,18,18094,{3F68E526-2910-471D-B07E-CEBDC659ED7C}
175,10390,1296,Resguardo Indígena Rio Atabapo,RESOLUCION,0082,1989/09/26 00:00:00+00,513720,P-198.896,CURRIPACO Y PUINAVE,94,94001,{BA16523F-A017-44B3-9608-91CA51C921A1}
176,10169,1746,Resguardo Indígena Nasa Paez de Cxayu'Ce Fxiw,ACUERDO,0098,2007/02/15 00:00:00+00,231.8175,10-0-00110 de Octubre de 2005,PAEZ,19,19130,{3E1AB324-5E12-4553-98BA-48363E9C4E0F}
177,10892,1876,Resguardo Indígena Muchidó,ACUERDO,143,2020/12/04 00:00:00+00,204.0033,ACCTI  27580733,EMBERA KATIO,27,27580,{2D33C40A-ECF6-4BFF-8EFB-A7B5D236653E}
178,10484,1853,Resguardo Indigena Naexal Lajt,RESOLUCION,75,2018/10/25 00:00:00+00,1733.1724,ACCTI 50325282 de junio 2018,JIW,50,50325,{D77D39CC-F84B-41EA-935A-8B0701D871EA}
179,10148,1615,Resguardo Indígena Paez de Zit-Set Del Quecal,RESOLUCION,0003,2001/02/20 00:00:00+00,819.7,"616,4",PAEZ,18,18592,{F9E457AA-03E5-4032-939B-F48E0064B32B}
180,10229,1173,Resguardo Indígena Emebera Calle Santa Rosa,RESOLUCION,14,1983/05/03 00:00:00+00,21320,263419,EMBERA,19,19809,{0F8009E5-6EC1-4DA7-BB4E-ABFA28694EBF}
181,10176,1521,Resguardo Indígena Páez de Huellas,ACUERDO,490,2025/07/10 00:00:00+00,6419.9819,ACCTI024191422983,PÁEZ,19,19142,{A40A9AA8-BCD6-4539-BBC5-E47F838120C7}
182,10223,1171,Resguardo Indígena Paez de Tumburao,RESOLUCION,4,1993/02/09 00:00:00+00,724.736,P-425.129 / P-344.782 / P-344.783 / P-393.500,PAEZ,19,19743,{14C22DED-FD6D-4698-851A-D55CA53C38FC}
183,10086,1057,"Resguardo Indígena Guahibo Genareros  - ( denominados La Esperanza, La Fortaleza y El Totumo)",RESOLUCION,0011,1985/02/20 00:00:00+00,123.0335,p-198.556,GUAHIBO,81,81794,{6CB105CF-1719-472B-9DE4-E0899B1A33CA}
184,10342,1523,Resguardo Indígena Embera de San Jose Amia De Pato,RESOLUCION,0039,1998/11/30 00:00:00+00,820,P-466-683,EMBERA,27,27001,{6587EDEC-B956-42AD-B9BB-13880C91027A}
185,10584,1405,Resguardo Indígena Huitoto De Jirijiri,RESOLUCION,275,2023/06/21 00:00:00+00,14189.515,ACCTI 865731744,WITOTO,86,86573,{A348F7B4-2705-476E-BF83-3F432FC81686}
186,10270,1763,Resguardo Indígena Embera Katio de El Fiera,ACUERDO,0224,2010/10/26 00:00:00+00,4439.037,10-0-00418,EMBERA KATIO,27,27050,{A8994CD6-A1F2-4E46-901C-460851E938DB}
187,10029,1037,Resguardo Indígena Embera - Katio de Chontadural - Cañero,RESOLUCION,0024,1996/05/24 00:00:00+00,9850,1-568-163 de Julio de 1995,EMBERA KATIO,05,05480,{4B15CDAA-CA58-428C-8D36-5D094C796BED}
188,10073,1555,Resguardo Indígena Embera-Katio de Las Playas,RESOLUCION,166,2021/06/02 00:00:00+00,200.7536,ACCTI 05045999,EMBERA KATIO,05,05045,{249B6BB2-F6BF-4C98-B324-9C484F7AC56F}
189,10263,1586,Resguardo Indígena Embera de Dearade Biakirude,RESOLUCION,0013,2000/06/29 00:00:00+00,6019.92,I-466.887,EMBERA,27,27077,{D6C98966-798F-4A5A-B0F3-54E92CF6515D}
190,10146,1105,Resguardo Indígena Huitoto - Paraje de Witora O Huitora,RESOLUCION,240,2022/11/16 00:00:00+00,131571.4893,ACCTI 187561630,HUITOTO,18,18756,{85FD9DCE-EDEF-49CF-AA85-861B397CEFEE}
191,10684,1805,Resguardo Indígena Gualeras,ACUERDO,0359,2015/04/29 00:00:00+00,228.4971,012485AE73483,PIJAO,73,73483,{2A7E8FAF-4384-41D6-88BB-0DC022E326E1}
192,10250,1623,Resguardo Indígena Embera de Bajo Grande,RESOLUCION,0012,2001/06/28 00:00:00+00,2436.1866,I-466.889 de Abril de 2001,EMBERA,27,27077,{AB945D68-AC44-4B76-BAD0-ACBFFF8E31CA}
193,10781,SIN INFORMACION,Resguardo Indígena Castañal De Los Lagos,ACUERDO,411,2024/11/07 00:00:00+00,129.2352,ACCTI02391001752,TIKUNA,91,91001,{67805003-29ED-449A-8E58-900DEB84A213}
194,10288,1221, Resguardo Indígena Waunana de La Union Choco - San Cristobal,RESOLUCION,0036,1984/05/01 00:00:00+00,21400,P-198526 de julio 1983,WAUNANA,27,27361,{4FD41CA5-8BEA-4944-957A-DB5FF86EE474}
195,10031,1027,Resguardo Indígena Embera de Chuscal y Tuguridocito,RESOLUCION,0041,1988/07/21 00:00:00+00,5122,P-198-838,EMBERA,05,05234,{6C30F576-3B31-479E-9361-F883206B82C8}
196,10008,1017,Resguardo Indígena de los Rios Miriti Parana (La Pedrera),ACUERDO,229,2022/05/24 00:00:00+00,1818694,SIN INFORMACION,YUCUNA Y OTROS,91,91001,{CA60BE0C-D3C5-46FD-A605-7F444C05C9E9}
197,10064,1838,Resguardo Indígena Embera Katio de Sohaibado,ACUERDO,48,2018/03/05 00:00:00+00,114.1958,ACCTI0525024,EMBERA KATIO,05,05250,{D69569D4-FEEC-4519-9CAA-33B3D502D8E4}
198,10522,1811,Resguardo Indígena Pasto De Iles,ACUERDO,0373,2015/09/21 00:00:00+00,65.857,N° 012979AE52352,PASTOS,52,52352,{ED1E3997-F5D7-4E13-BCD9-D4A88A76C514}
199,10492,1652,Resguardo Indígena Awa de Cuaiquer Integrado La Milagrosa,RESOLUCION,0020,2002/12/10 00:00:00+00,3140.5815,N-630.247 de mayo de 2000,AWA,52,52612,{66BE71C4-9452-4F81-9285-2E032C1E2E3C}
200,11912,,Resguardo Indígena Wayuu Amaiseo,RESOLUCION,496,2025/07/30 00:00:00+00,250.3012,ACCTI023444304027,WAYUÚ,44,44430,{36C2C751-8BEE-43E8-A6A7-BCAAD7FD8FE9}
201,11651,,Resguardo Indígena Shuiroog-Rt Piedra Veradal de los Pueblos Piunave y Piapoco,ACUERDO,441,2024/12/19 00:00:00+00,20759.0404,ACCTI02399773931,PUINAVE / PIAPOCO,99,99773,{46EEA211-1F2C-4150-8EC2-9826AB02DCF3}
202,11064,,Resguardo Indígena Jai Ziaya Bain,ACUERDO,483,2025/05/27 00:00:00+00,55008.3709,ACCTI023865732335,SIONA,86,86573,{17590F44-22DB-4966-8247-477FA21E4214}
203,11005,SIN INFORMACION,Resguardo Indígena La Montaña,RESOLUCION,299,2023/09/25 00:00:00+00,39629.9027,ACCTI0232526782044 ,PASTOS,52,52678,{C7CFB4F6-5A57-419C-999F-572E7440D981}
204,10732,1658,Resguardo Indígena Embera (Chami) Nabera Drua,RESOLUCION,0026,2002/12/10 00:00:00+00,374.794,G-602.362,EMBERA CHAMI,76,76606,{9792861C-52D3-459C-B933-FEC62F339BA6}
205,10451,1588,Resguardo Indígena Wayuu de Okochi,RESOLUCION,0015,2000/06/29 00:00:00+00,229.2928,618239,WAYUU,44,44430,{449E70CA-BE9A-4B77-B254-7D480FE55C53}
206,10730,1569,Resguardo Indígena Paez de las Brisas (Nasa Kwe´s Kiwe),RESOLUCION,0043,1999/05/31 00:00:00+00,88.9132,G-601.554,PAEZ,76,76275,{52FA7D8F-7776-44A3-B41C-37A8BFED3CC5}
207,10907,1859,Resguardo Indígena Fiil Vist La Perdiz,ACUERDO,418,2024/11/27 00:00:00+00,569.9931,ACCTI02441668817,NASA,41,41668,{62F2BC31-F049-4A73-8277-F1ECF3259DB2}
208,11056,SIN ASIGNAR,Resguardo Indígena Day Drua Las Palmeras,ACUERDO,333,2023/12/18 00:00:00+00,248.4695,ACCTI 0231868652260,KOFAN,86,86865,{D5F6898D-8DE9-4C77-A423-11BDD899D0C9}
209,11029,SIN INFORMACION,Resguardo Indígena Los Pastos San Jose del Pepino,ACUERDO,421,2024/11/27 00:00:00+00,37.9055,ACCTI02386001813,PASTOS,86,86001,{C0AC80B8-03BF-43C3-9A5D-951F09E5956D}
210,10028,1031,Resguardo Indígena Emebra - Katio de Chaquenoda,RESOLUCION,34,1998/11/30 00:00:00+00,23843.115,"I-569414 y P-466,681 de Octubre de 1998",EMBERA KATIO,05,05284,{D84B347C-BDFE-4C59-9554-48A373D2088B}
211,10644,1414,Resguardo Indígena Pijao El Tambo,RESOLUCION,0023,1997/10/03 00:00:00+00,634.97,I-551.995,PIJAO,73,73217,{CA56CA50-102B-4B59-AC24-A1F25DAFAE2B}
212,10564,1396,Resguardo Indígena de Calenturas,RESOLUCION,0045,1989/06/26 00:00:00+00,3066,P-198.857,INGA,86,86001,{C2D7B927-D1CA-45D1-A530-EE5008888E94}
213,10386,1279,Resguardo Indígena Piapoco de Murcielago - Altamira,RESOLUCION,0035,1987/05/13 00:00:00+00,7960,198655,PIAPOCO,94,94343,{FAC88E4B-1C9F-4445-80A7-C9B86B1605B7}
214,10544,1590,Resguardo Indígena Kofan de Ukumari Kankhe,ACUERDO,449,2024/12/19 00:00:00+00,47929.4812,ACCTI02452356950,"KOFAN
",52,52356,{A110EFF4-58E6-44F6-B0EF-B4070E213A9D}
215,10999,1922,Resguardo Indígena Guelmambi El Bombo,RESOLUCION,287,2023/08/01 00:00:00+00,628.1166,ACCTI 520791256,AWA,52,52079,{0E719028-713F-45F6-A9C8-C6FF31002F1E}
216,10194,1118,Resguardo Indígena Paez de La Paila - Naya,RESOLUCION,0116,1993/09/21 00:00:00+00,501.3,P-481.711 / P-481.710 / B - 343.007,PAEZ,19,19110,{BB8DBED5-E813-4ECB-8066-00C461C64575}
217,10755,1475,Resguardo Indígena Guahibo de Guacamayas-Mamiyare,RESOLUCION,0043,1986/07/03 00:00:00+00,18700,P-198609,GUAHIBO,99,99001,{3111817E-F525-4E99-9C04-8F4CC4080220}
218,10065,1846,Resguardo Indígena Carupia,RESOLUCION,65,2018/07/26 00:00:00+00,38.2137,ACCTI 0512034,EMBERA CHAMI,05,05120,{39ACDCF3-F603-43DC-ADFA-514B7EA516C3}
219,10681,1804,Resguardo Indígena Aco Viejo Patio Bonito,ACUERDO,0358,2015/04/29 00:00:00+00,369.219,013900AE3563,PIJAO,73,73563,{8A166436-2AAD-43ED-9752-A2DB491F68EE}
220,10094,1050,Resguardo Indígena Guahibo de Matecandela,RESOLUCION,0047,1994/11/01 00:00:00+00,15.746,552063,GUAHIBO,81,81001,{2153F136-0534-4904-B6DA-94D55D1E31B5}
221,10622,1532,Resguardo Indígena Embera - Chami de Suratena,RESOLUCION,181,2021/09/23 00:00:00+00,136.3565,ACCTI 664401070,EMBERA CHAMI,66,66440,{59445336-2B95-42A8-A3FE-1ADE85789E8E}
222,10150,1089,"Resguardo Indígena Pijao, Tucano y Piratapuyo Llanos Del Yari - Yaguara II",RESOLUCION,10,1995/02/22 00:00:00+00,146500,G-198428,PIJAO,18,18753,{D5C39E9C-A393-4F40-9711-A6ADCC258251}
223,10010,1022,Resguardo Indígena Nonuya de Villazul,RESOLUCION,203,2021/12/07 00:00:00+00,260933,P-198.561,MUINANE Y OTROS,91,91407,{FA3D21F1-0D71-493A-905C-4CADF4C465D9}
224,10388,1294,Resguardo Indígena Puinave Y Piapoco De Paujil,RESOLUCION,92,2006/12/20 00:00:00+00,52296.0723,P- 9 - 2 - 00001,Puinave Y Piapoco,94,94001,{757A85A2-F148-4443-9952-980D33EED4B8}
225,10776,1491,Resguardo Indígena Guahibo de Valdivia,RESOLUCION,0041,1984/08/15 00:00:00+00,3985,264760,GUAHIBO,99,99773,{59C5CF7B-124F-4388-99FB-7C76FF893174}
226,10608,1408,Resguardo Indígena Witoto de Tukunare,RESOLUCION,33,2003/07/22 00:00:00+00,2783.923,617-467,WITOTO,86,86573,{23214A9C-AD98-47CF-8A27-4D6F27C7BFEE}
227,11439,50689,Resguardo indígena Guayaberos de Macuare,RESOLUCION,54,1983/07/21 00:00:00+00,24000,G-228382 DE MAYO DE 1977,GUAYABERO,50,50325,{543E5B8D-2FCE-4607-B279-65AF4F14210F}
228,10501,1801,Resguardo Indígena Pasto de Funes,RESOLUCION,0345,2014/12/16 00:00:00+00,12276.8383,012974AE52287 de julio de 2014,PASTOS,52,52287,{A4F303B5-006A-4E45-8C27-631CADD279DF}
229,10431,1703,Resguardo Indígena Nasa Paez Potrerito,ACUERDO,311,2023/11/30 00:00:00+00,311.6833,ACCTI 0241413962227,NASA PAEZ,41,41396,{3903DA91-1027-43C7-8F8A-51096DE66AFA}
230,10238,1752,Resguardo Indígena Yukpa de Laguna - El Coso - Cinco Caminos,ACUERDO,0183,2009/09/30 00:00:00+00,156.5888,1-4-0392,YUKPA,20,20621,{A893AB5B-B5DC-4E6F-8D8C-F30D365C0BF8}
231,10163,1647,"Resguardo Indígena Embera Almorzadero, San Isidro y la Nueva Union",RESOLUCION,0015,2002/12/10 00:00:00+00,4928.7476,I-630.381,EPERARA SIAPIDARA,19,19809,{E0B78C34-4EF8-4680-8980-3A22BEE99603}
232,10077,1557,Resguardo Indígena Guahibo de Bayoneros,RESOLUCION,0031,1999/05/31 00:00:00+00,93.6661,553-608 de marzo de 1999,GUAHIBO,81,81065,{BF07A689-7A90-4C37-A110-CB7BDAFAD077}
233,10910,1884,Resguardo Indígena Fiw Paez,ACUERDO,419,2024/11/27 00:00:00+00,55.9864,ACCTI02441396818,NASA,41,41396,{DF5FAEBE-36B9-4D57-A900-9A59E7D956D5}
234,10082,1056,Resguardo Indígena Guahibo de Cuiloto II,RESOLUCION,0006,1995/02/07 00:00:00+00,77.35,446-626 de diciembre de 1991,GUAHIBO,81,81794,{41AC9E40-8374-4718-A2E0-8EF67E21B8B2}
235,10277,1649,Resguardo Indígena Embera de Guadualito,ACUERDO,0017,2002/12/10 00:00:00+00,428.178,I-630.404,EMBERA,27,27413,{13E29D39-CF17-4658-8E4F-FEDB40D416A8}
236,10539,1511,Resguardo Indígena Santa Rosa Sucumbios y El Diviso,RESOLUCION,0010,1998/05/13 00:00:00+00,1140,P-466.579,KOFAN,52,52356,{0BFBDD64-0C80-4471-8F21-F796CE8B1877}
237,10467,1330,Resguardo Indígena Guanano de Charco Caiman,RESOLUCION,0013,1996/05/24 00:00:00+00,1937.6257,572-156 de septiembre de 1995,GUANANO,50,50325,{48249448-EB18-46DE-B284-9C98C055BC8F}
238,10317,1522,Resguardo Indígena Embera del Rio Bebara,RESOLUCION,0038,1998/11/30 00:00:00+00,27119,P-466.296,EMBERA,27,27001,{BCE7173B-27D5-4931-B7C9-BCB2967E250C}
239,10107,1074,Resguardo Indígena Embera-Katio de Honduras,RESOLUCION,332,2014/02/20 00:00:00+00,1215.5565,006680AE18001,EMBERA KATIO,18,18001,{5D3CBA52-3DF0-413A-AD22-00813420DA72}
240,10055,1023,Resguardo Indígena Embera-Katio de Polines,RESOLUCION,25,2003/06/22 00:00:00+00,4255.1407,P-198.745,EMBERA KATIO,05,05172,{E470E067-C429-413A-AF27-06E516EB97FC}
